FacilityType,LoanID,BorrowerID,CounterPartyID,FacilityID,DealID,DealName,BorrowerName,BranchCode,LoanType,PricingOption,LoanPurpose,ContractID,EffectiveDate,RepriceDate,ExpiryDate,MaturityDate,duration,CurrencyCode,LenderID,AccuredToDate,LegalName,FacilityLegalName,BaseRate,SpreadT,LoanAmount,PortfolioShare,LoanCurrency,ProfitCenterCode
REVOLVING,0YD8T1T20,BID1T27,MAIULON383,CDREVOLVING7,US0CE551T20,MAIULON383-EUR,Borrower-11,B112,LOAN,UNPAID_LIBOR,Loans,US0CE551T20,1/11/2018,,,1/11/2019,1,EUR,Lender-36,,Borrower-11 Inc,Borrower-11 Inc,0.034,0.015,116288.06,581440.31,EUR,US0CE55
UNCOMMITTED,0YD8T1T21,BID1T26,MAIULON388,CDUNCOMMITTED33,US0CE551T21,MAIULON388-GB,Borrower-100,B282,LOAN,EURIBOR,Loans,US0CE551T21,1/23/2018,,,1/23/2019,1,GB,Lender-11,,Borrower-100 Inc,Borrower-100 Inc,0.035,0.015,106808.23,534041.13,GB,US0CE55
TERM,0YD8T1T22,BID1T21,MAIULON271,CDTERM23,US0CE551T22,MAIULON271-USD,Borrower-245,B281,LOAN,SBLC_PERF,Loans,US0CE551T22,2/21/2018,,,2/21/2019,1,USD,Lender-8,,Borrower-245 Inc,Borrower-245 Inc,0.042,0.025,118936.96,594684.82,USD,US0CE55
COMMITTED,0YD8T1T23,BID1T5,MAIULON70,CDCOMMITTED79,US0CE551T23,MAIULON70-USD,Borrower-462,B244,SBLC,SBLC_PERF,SBLC_PERF_20,US0CE551T23,6/24/2018,,,6/24/2019,1,USD,Lender-29,,Borrower-462 Inc,Borrower-462 Inc,0.04,0.025,112525.98,562629.9,USD,US0CE55
COMMITTED,0YD8T1T24,BID1T29,MAIULON532,CDCOMMITTED27,US0CE551T24,MAIULON532-GB,Borrower-156,B175,SBLC,SBLC_PERF,SBLC_PERF_50_DEFAULT,US0CE551T24,6/1/2018,,,6/1/2019,1,GB,Lender-9,,Borrower-156 Inc,Borrower-156 Inc,0.036,0.022,103065.31,515326.55,GB,US0CE55
TERM,0YD8T1T25,BID1T5,MAIULON357,CDTERM77,US0CE551T25,MAIULON357-USD,Borrower-196,B199,LOAN,ZERO_RATE,Loans,US0CE551T25,6/8/2018,,,6/8/2019,1,USD,Lender-17,,Borrower-196 Inc,Borrower-196 Inc,0.035,0.015,118229.7,591148.5,USD,US0CE55
TERM,0YD8T1T26,BID1T6,MAIULON213,CDTERM12,US0CE551T26,MAIULON213-USD,Borrower-190,B264,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T26,4/22/2018,,,4/22/2019,1,USD,Lender-45,,Borrower-190 Inc,Borrower-190 Inc,0.084,0.015,108706.69,543533.43,USD,US0CE55
UNCOMMITTED,0YD8T1T27,BID1T29,MAIULON351,CDUNCOMMITTED45,US0CE551T27,MAIULON351-USD,Borrower-492,B139,SBLC,SBLC_FINANCIAL,SBLC_FINANCIAL_20,US0CE551T27,3/16/2018,,,3/16/2019,1,USD,Lender-29,,Borrower-492 Inc,Borrower-492 Inc,0.063,0.018,104359.25,521796.25,USD,US0CE55
COMMITTED,0YD8T1T28,BID1T19,MAIULON181,CDCOMMITTED53,US0CE551T28,MAIULON181-EUR,Borrower-492,B109,SBLC,SBLC_PERF,SBLC_FINANCIAL_20,US0CE551T28,4/9/2018,,,4/9/2019,1,EUR,Lender-8,,Borrower-492 Inc,Borrower-492 Inc,0.037,0.019,115936.05,579680.24,EUR,US0CE55
REVOLVING,0YD8T1T29,BID1T13,MAIULON417,CDREVOLVING31,US0CE551T29,MAIULON417-EUR,Borrower-68,B230,LOAN,LIBOR_SWINGLINE,Loans,US0CE551T29,4/15/2018,,,4/15/2019,1,EUR,Lender-24,,Borrower-68 Inc,Borrower-68 Inc,0.042,0.024,119827.39,599136.96,EUR,US0CE55
TERM,0YD8T1T30,BID1T8,MAIULON310,CDTERM93,US0CE551T30,MAIULON310-USD,Borrower-161,B288,LOAN,US_SBLC,Loans,US0CE551T30,4/1/2018,,,4/1/2019,1,USD,Lender-7,,Borrower-161 Inc,Borrower-161 Inc,0.042,0.017,108775.3,543876.51,USD,US0CE55
TERM,0YD8T1T31,BID1T28,MAIULON350,CDTERM39,US0CE551T31,MAIULON350-USD,Borrower-177,B257,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T31,2/24/2018,,,2/24/2019,1,USD,Lender-21,,Borrower-177 Inc,Borrower-177 Inc,0.076,0.015,104981.13,524905.66,USD,US0CE55
REVOLVING,0YD8T1T32,BID1T29,MAIULON365,CDREVOLVING77,US0CE551T32,MAIULON365-GB,Borrower-491,B254,SBLC,SBLC_FINANCIAL,SBLC_PERF_20,US0CE551T32,6/25/2018,,,6/25/2019,1,GB,Lender-2,,Borrower-491 Inc,Borrower-491 Inc,0.03,0.015,113714.36,568571.81,GB,US0CE55
UNCOMMITTED,0YD8T1T33,BID1T18,MAIULON86,CDUNCOMMITTED3,US0CE551T33,MAIULON86-USD,Borrower-287,B165,LOAN,SBLC_FINANCIAL,Loans,US0CE551T33,3/4/2018,,,3/4/2019,1,USD,Lender-10,,Borrower-287 Inc,Borrower-287 Inc,0.055,0.015,105311.4,526557.01,USD,US0CE55
COMMITTED,0YD8T1T34,BID1T6,MAIULON506,CDCOMMITTED90,US0CE551T34,MAIULON506-USD,Borrower-95,B162,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T34,5/31/2018,,,5/31/2019,1,USD,Lender-14,,Borrower-95 Inc,Borrower-95 Inc,0.049,0.017,111363.32,556816.6,USD,US0CE55
TERM,0YD8T1T35,BID1T3,MAIULON376,CDTERM98,US0CE551T35,MAIULON376-USD,Borrower-62,B119,SBLC,US_SBLC,SBLC_PERF_20,US0CE551T35,6/18/2018,,,6/18/2019,1,USD,Lender-42,,Borrower-62 Inc,Borrower-62 Inc,0.049,0.015,106926.62,534633.1,USD,US0CE55
UNCOMMITTED,0YD8T1T36,BID1T25,MAIULON170,CDUNCOMMITTED81,US0CE551T36,MAIULON170-GB,Borrower-478,B138,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T36,2/6/2018,,,2/6/2019,1,GB,Lender-1,,Borrower-478 Inc,Borrower-478 Inc,0.075,0.015,104751.33,523756.66,GB,US0CE55
REVOLVING,0YD8T1T37,BID1T25,MAIULON91,CDREVOLVING29,US0CE551T37,MAIULON91-GB,Borrower-476,B295,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T37,4/21/2018,,,4/21/2019,1,GB,Lender-40,,Borrower-476 Inc,Borrower-476 Inc,,0.021,109805.81,549029.07,GB,US0CE55
COMMITTED,0YD8T1T38,BID1T19,MAIULON59,CDCOMMITTED52,US0CE551T38,MAIULON59-USD,Borrower-254,B287,SBLC,SBLC_FINANCIAL,SBLC_PERF_20,US0CE551T38,3/18/2018,,,3/18/2019,1,USD,Lender-38,,Borrower-254 Inc,Borrower-254 Inc,,0.015,112787.87,563939.36,USD,US0CE55
LIBOR,0YD8T1T39,BID1T21,MAIULON339,CDLIBOR72,US0CE551T39,MAIULON339-EUR,Borrower-69,B151,SBLC,SBLC_PERF,SBLC_PERF_20,US0CE551T39,6/22/2018,,,6/22/2019,1,EUR,Lender-29,,Borrower-69 Inc,Borrower-69 Inc,,0.021,119846.9,599234.5,EUR,US0CE55
COMMITTED,0YD8T1T40,BID1T1,MAIULON335,CDCOMMITTED28,US0CE551T40,MAIULON335-USD,Borrower-416,B107,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T40,4/3/2018,,,4/3/2019,1,USD,Lender-39,,Borrower-416 Inc,Borrower-416 Inc,,0.015,102401.95,512009.75,USD,US0CE55
UNCOMMITTED,0YD8T1T41,BID1T18,MAIULON235,CDUNCOMMITTED4,US0CE551T41,MAIULON235-GB,Borrower-134,B250,SBLC,SBLC_FINANCIAL,SBLC_PERF_50_DEFAULT,US0CE551T41,1/17/2018,,,1/17/2019,1,GB,Lender-31,,Borrower-134 Inc,Borrower-134 Inc,,0.015,105725.76,528628.8,GB,US0CE55
UNCOMMITTED,0YD8T1T42,BID1T3,MAIULON490,CDUNCOMMITTED4,US0CE551T42,MAIULON490-GB,Borrower-132,B143,SBLC,US_SBLC,SBLC_FINANCIAL_20,US0CE551T42,4/21/2018,,,4/21/2019,1,GB,Lender-49,,Borrower-132 Inc,Borrower-132 Inc,,0.019,117874.95,589374.74,GB,US0CE55
UNCOMMITTED,0YD8T1T43,BID1T27,MAIULON401,CDUNCOMMITTED52,US0CE551T43,MAIULON401-EUR,Borrower-184,B149,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T43,3/2/2018,,,3/2/2019,1,EUR,Lender-14,,Borrower-184 Inc,Borrower-184 Inc,,0.017,111581.73,557908.66,EUR,US0CE55
UNCOMMITTED,0YD8T1T44,BID1T23,MAIULON575,CDUNCOMMITTED40,US0CE551T44,MAIULON575-USD,Borrower-172,B138,LOAN,LIBOR,Loans,US0CE551T44,3/4/2018,,,3/4/2019,1,USD,Lender-20,,Borrower-172 Inc,Borrower-172 Inc,,0.016,110882.67,554413.36,USD,US0CE55
COMMITTED,0YD8T1T45,BID1T29,MAIULON128,CDCOMMITTED54,US0CE551T45,MAIULON128-USD,Borrower-449,B265,SBLC,SBLC_PERF,SBLC_PERF_50_DEFAULT,US0CE551T45,2/19/2018,,,2/19/2019,1,USD,Lender-12,,Borrower-449 Inc,Borrower-449 Inc,,0.015,101545.13,507725.66,USD,US0CE55
COMMITTED,0YD8T1T46,BID1T16,MAIULON597,CDCOMMITTED13,US0CE551T46,MAIULON597-EUR,Borrower-25,B173,SBLC,SBLC_PERF,SBLC_FINANCIAL_20,US0CE551T46,1/16/2018,,,1/16/2019,1,EUR,Lender-47,,Borrower-25 Inc,Borrower-25 Inc,,0.019,119762.26,598811.3,EUR,US0CE55
LIBOR,0YD8T1T47,BID1T8,MAIULON407,CDLIBOR20,US0CE551T47,MAIULON407-USD,Borrower-350,B106,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T47,1/15/2018,,,1/15/2019,1,USD,Lender-44,,Borrower-350 Inc,Borrower-350 Inc,0.09,0.015,117122.47,585612.33,USD,US0CE55
LIBOR,0YD8T1T48,BID1T24,MAIULON3,CDLIBOR63,US0CE551T48,MAIULON3-USD,Borrower-311,B161,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T48,4/12/2018,,,4/12/2019,1,USD,Lender-10,,Borrower-311 Inc,Borrower-311 Inc,0.055,0.015,111519.58,557597.89,USD,US0CE55
LIBOR,0YD8T1T49,BID1T29,MAIULON519,CDLIBOR16,US0CE551T49,MAIULON519-GB,Borrower-56,B170,LOAN,LIBOR,Loans,US0CE551T49,1/3/2018,,,1/3/2019,1,GB,Lender-38,,Borrower-56 Inc,Borrower-56 Inc,0.074,0.024,113454.9,567274.51,GB,US0CE55
REVOLVING,0YD8T1T50,BID1T27,MAIULON153,CDREVOLVING19,US0CE551T50,MAIULON153-GB,Borrower-235,B122,LOAN,ZERO_RATE,Loans,US0CE551T50,2/24/2018,,,2/24/2019,1,GB,Lender-22,,Borrower-235 Inc,Borrower-235 Inc,0.061,0.015,105092.71,525463.53,GB,US0CE55
LIBOR,0YD8T1T51,BID1T6,MAIULON397,CDLIBOR32,US0CE551T51,MAIULON397-USD,Borrower-72,B164,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T51,2/16/2018,,,2/16/2019,1,USD,Lender-5,,Borrower-72 Inc,Borrower-72 Inc,0.084,0.015,105465.68,527328.41,USD,US0CE55
LIBOR,0YD8T1T52,BID1T20,MAIULON268,CDLIBOR87,US0CE551T52,MAIULON268-GB,Borrower-112,B299,LOAN,LIBOR_SWINGLINE,Loans,US0CE551T52,5/14/2018,,,5/14/2019,1,GB,Lender-22,,Borrower-112 Inc,Borrower-112 Inc,0.051,0.015,119387.17,596935.84,GB,US0CE55
UNCOMMITTED,0YD8T1T53,BID1T19,MAIULON209,CDUNCOMMITTED90,US0CE551T53,MAIULON209-EUR,Borrower-330,B129,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T53,4/25/2018,,,4/25/2019,1,EUR,Lender-24,,Borrower-330 Inc,Borrower-330 Inc,0.05,0.018,119912.07,599560.34,EUR,US0CE55
LIBOR,0YD8T1T54,BID1T1,MAIULON137,CDLIBOR84,US0CE551T54,MAIULON137-GB,Borrower-402,B102,LOAN,LIBOR,Loans,US0CE551T54,2/4/2018,,,2/4/2019,1,GB,Lender-48,,Borrower-402 Inc,Borrower-402 Inc,0.096,0.015,114598.5,572992.49,GB,US0CE55
LIBOR,0YD8T1T55,BID1T15,MAIULON522,CDLIBOR28,US0CE551T55,MAIULON522-EUR,Borrower-134,B294,LOAN,EURIBOR,Loans,US0CE551T55,5/31/2018,,,5/31/2019,1,EUR,Lender-9,,Borrower-134 Inc,Borrower-134 Inc,0.03,0.015,114357.45,571787.23,EUR,US0CE55
LIBOR,0YD8T1T56,BID1T28,MAIULON238,CDLIBOR86,US0CE551T56,MAIULON238-GB,Borrower-262,B224,SBLC,US_SBLC,SBLC_FINANCIAL_20,US0CE551T56,5/29/2018,,,5/29/2019,1,GB,Lender-25,,Borrower-262 Inc,Borrower-262 Inc,0.068,0.015,100337.79,501688.95,GB,US0CE55
UNCOMMITTED,0YD8T1T57,BID1T21,MAIULON131,CDUNCOMMITTED11,US0CE551T57,MAIULON131-USD,Borrower-221,B248,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T57,1/23/2018,,,1/23/2019,1,USD,Lender-11,,Borrower-221 Inc,Borrower-221 Inc,0.055,0.015,109079.24,545396.18,USD,US0CE55
LIBOR,0YD8T1T58,BID1T24,MAIULON592,CDLIBOR43,US0CE551T58,MAIULON592-GB,Borrower-150,B222,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T58,3/22/2018,,,3/22/2019,1,GB,Lender-39,,Borrower-150 Inc,Borrower-150 Inc,0.03,0.016,109075.87,545379.36,GB,US0CE55
REVOLVING,0YD8T1T59,BID1T25,MAIULON215,CDREVOLVING10,US0CE551T59,MAIULON215-GB,Borrower-242,B171,SBLC,US_SBLC,SBLC_FINANCIAL_100_DEFAULT,US0CE551T59,5/27/2018,,,5/27/2019,1,GB,Lender-21,,Borrower-242 Inc,Borrower-242 Inc,,0.015,102928.2,514641.02,GB,US0CE55
TERM,0YD8T1T60,BID1T5,MAIULON268,CDTERM71,US0CE551T60,MAIULON268-EUR,Borrower-339,B268,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T60,5/10/2018,,,5/10/2019,1,EUR,Lender-45,,Borrower-339 Inc,Borrower-339 Inc,,0.016,118421.67,592108.35,EUR,US0CE55
LIBOR,0YD8T1T61,BID1T8,MAIULON565,CDLIBOR41,US0CE551T61,MAIULON565-GB,Borrower-324,B196,SBLC,SBLC_FINANCIAL,SBLC_PERF_20,US0CE551T61,5/28/2018,,,5/28/2019,1,GB,Lender-24,,Borrower-324 Inc,Borrower-324 Inc,,0.015,109154.82,545774.1,GB,US0CE55
REVOLVING,0YD8T1T62,BID1T8,MAIULON138,CDREVOLVING88,US0CE551T62,MAIULON138-GB,Borrower-17,B204,LOAN,UNPAID_LIBOR,Loans,US0CE551T62,1/7/2018,,,1/7/2019,1,GB,Lender-33,,Borrower-17 Inc,Borrower-17 Inc,,0.022,110750.46,553752.31,GB,US0CE55
LIBOR,0YD8T1T63,BID1T9,MAIULON20,CDLIBOR2,US0CE551T63,MAIULON20-USD,Borrower-358,B207,SBLC,SBLC_FINANCIAL,SBLC_FINANCIAL_20,US0CE551T63,1/29/2018,,,1/29/2019,1,USD,Lender-9,,Borrower-358 Inc,Borrower-358 Inc,,0.015,112218.29,561091.45,USD,US0CE55
REVOLVING,0YD8T1T64,BID1T17,MAIULON18,CDREVOLVING45,US0CE551T64,MAIULON18-EUR,Borrower-483,B161,LOAN,UNPAID_LIBOR,Loans,US0CE551T64,2/28/2018,,,2/28/2019,1,EUR,Lender-31,,Borrower-483 Inc,Borrower-483 Inc,,0.019,103697.59,518487.95,EUR,US0CE55
LIBOR,0YD8T1T65,BID1T19,MAIULON86,CDLIBOR53,US0CE551T65,MAIULON86-EUR,Borrower-362,B123,SBLC,US_SBLC,SBLC_PERF_50_DEFAULT,US0CE551T65,2/7/2018,,,2/7/2019,1,EUR,Lender-9,,Borrower-362 Inc,Borrower-362 Inc,,0.015,111593.86,557969.31,EUR,US0CE55
TERM,0YD8T1T66,BID1T27,MAIULON538,CDTERM28,US0CE551T66,MAIULON538-EUR,Borrower-349,B111,LOAN,COST_OF_FUND,Loans,US0CE551T66,3/8/2018,,,3/8/2019,1,EUR,Lender-1,,Borrower-349 Inc,Borrower-349 Inc,,0.017,110033.27,550166.37,EUR,US0CE55
LIBOR,0YD8T1T67,BID1T14,MAIULON271,CDLIBOR97,US0CE551T67,MAIULON271-USD,Borrower-277,B277,SBLC,SBLC_FINANCIAL,SBLC_FINANCIAL_20,US0CE551T67,1/8/2018,,,1/8/2019,1,USD,Lender-6,,Borrower-277 Inc,Borrower-277 Inc,,0.015,103594.07,517970.34,USD,US0CE55
TERM,0YD8T1T68,BID1T6,MAIULON3,CDTERM33,US0CE551T68,MAIULON3-USD,Borrower-400,B156,SBLC,SBLC_FINANCIAL,SBLC_PERF_50_DEFAULT,US0CE551T68,3/30/2018,,,3/30/2019,1,USD,Lender-22,,Borrower-400 Inc,Borrower-400 Inc,,0.021,110434.18,552170.88,USD,US0CE55
UNCOMMITTED,0YD8T1T69,BID1T0,MAIULON340,CDUNCOMMITTED57,US0CE551T69,MAIULON340-GB,Borrower-290,B165,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T69,2/12/2018,,,2/12/2019,1,GB,Lender-27,,Borrower-290 Inc,Borrower-290 Inc,,0.015,117219.49,586097.43,GB,US0CE55
REVOLVING,0YD8T1T70,BID1T11,MAIULON282,CDREVOLVING61,US0CE551T70,MAIULON282-EUR,Borrower-39,B152,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T70,4/29/2018,,,4/29/2019,1,EUR,Lender-47,,Borrower-39 Inc,Borrower-39 Inc,,0.016,107667.29,538336.45,EUR,US0CE55
TERM,0YD8T1T71,BID1T7,MAIULON391,CDTERM69,US0CE551T71,MAIULON391-USD,Borrower-410,B284,SBLC,SBLC_FINANCIAL,SBLC_PERF_50_DEFAULT,US0CE551T71,6/6/2018,,,6/6/2019,1,USD,Lender-17,,Borrower-410 Inc,Borrower-410 Inc,,0.021,105054.69,525273.45,USD,US0CE55
TERM,0YD8T1T72,BID1T6,MAIULON53,CDTERM44,US0CE551T72,MAIULON53-USD,Borrower-58,B100,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T72,3/10/2018,,,3/10/2019,1,USD,Lender-3,,Borrower-58 Inc,Borrower-58 Inc,,0.017,115701.83,578509.13,USD,US0CE55
COMMITTED,0YD8T1T73,BID1T24,MAIULON511,CDCOMMITTED91,US0CE551T73,MAIULON511-USD,Borrower-268,B236,SBLC,SBLC_FINANCIAL,SBLC_FINANCIAL_20,US0CE551T73,5/4/2018,,,5/4/2019,1,USD,Lender-47,,Borrower-268 Inc,Borrower-268 Inc,0.059,0.015,115224.97,576124.86,USD,US0CE55
COMMITTED,0YD8T1T74,BID1T13,MAIULON50,CDCOMMITTED99,US0CE551T74,MAIULON50-EUR,Borrower-156,B268,LOAN,US_SBLC,Loans,US0CE551T74,6/17/2018,,,6/17/2019,1,EUR,Lender-38,,Borrower-156 Inc,Borrower-156 Inc,0.076,0.018,102264.7,511323.51,EUR,US0CE55
COMMITTED,0YD8T1T75,BID1T19,MAIULON282,CDCOMMITTED88,US0CE551T75,MAIULON282-GB,Borrower-479,B108,DISCOUNT_LOAN,DISCOUNT_LOAN,Loans,US0CE551T75,4/22/2018,,,4/22/2019,1,GB,Lender-7,,Borrower-479 Inc,Borrower-479 Inc,0.062,0.015,115429.49,577147.45,GB,US0CE55
